license#,,gender,racing age,Road Cat
65697,,M,56,3
65724,,M,36,5
65800,,M,41,2
66004,,M,48,4
66362,,M,46,1
66448,,M,45,4
66627,,M,45,1
66708,,M,45,4
66806,,M,46,1
66841,,M,56,4
67041,,M,44,1
67169,,M,41,3
67418,,M,53,5
68163,,M,59,3
68261,,M,44,3
68262,,F,60,3
68644,,M,34,4
68739,,M,52,4
68813,,F,52,3
68826,,M,50,5
69407,,M,46,3
69738,,M,51,2
70405,,M,62,3
70468,,M,50,4
71231,,M,65,3
71366,,M,48,2
71802,,M,54,3
72022,,M,44,1
72432,,M,49,3
72452,,M,47,5
72643,,M,44,3
72889,,M,69,2
72893,,M,36,2
74102,,M,54,3
74292,,M,35,3
74410,,M,52,2
75041,,M,46,5
75094,,M,42,3
75152,,M,55,4
75334,,M,44,2
75344,,M,47,3
75728,,F,46,2
75937,,F,57,2
76203,,M,44,4
76287,,M,48,2
76552,,M,43,3
76561,,M,50,2
77144,,M,62,3
77219,,M,41,5
77411,,M,33,2
78081,,M,44,3
78134,,M,57,3
78297,,M,59,4
78355,,M,55,5
78689,,M,57,3
79052,,M,43,1
79101,,M,44,1
79184,,M,54,5
79185,,M,52,5
79205,,M,56,5
79211,,M,57,5
79214,,M,59,4
79232,,F,45,3
79536,,M,45,5
79603,,M,35,3
79770,,M,63,5
79937,,M,52,4
80642,,M,54,2
80644,,M,51,3
80815,,F,44,3
80924,,F,39,3
80925,,M,49,2
80985,,M,35,5
81585,,M,49,5
81586,,M,54,3
81589,,M,47,4
81903,,F,44,1
82226,,M,58,4
82857,,M,59,5
83197,,M,42,5
83285,,M,46,5
83306,,M,47,2
83434,,M,59,5
83707,,M,53,3
84014,,M,40,2
84338,,M,36,3
84544,,M,57,3
84614,,M,59,4
85161,,M,49,3
85253,,M,46,3
85634,,F,53,4
86200,,M,50,1
86484,,M,33,1
86490,,M,47,3
86651,,M,53,3
86698,,M,67,4
86778,,M,52,4
86797,,M,52,1
87090,,M,48,2
87111,,M,44,3
87230,,M,34,5
87571,,M,62,2
87821,,M,52,4
87938,,M,59,2
87996,,M,52,4
88248,,M,48,4
88570,,M,45,3
88610,,M,39,4
88722,,M,47,3
88758,,M,45,2
88795,,M,50,3
88963,,M,51,2
88987,,M,49,4
89136,,M,58,4
89303,,M,44,2
89327,,M,46,5
89361,,F,52,2
89367,,M,48,1
89373,,M,42,4
89955,,F,45,1
90079,,M,60,4
90122,,M,55,4
90241,,M,59,3
90250,,M,53,4
90582,,M,70,4
90586,,M,45,3
90625,,M,43,3
90704,,M,47,5
90775,,M,35,2
90802,,M,40,1
91119,,M,44,3
91336,,M,48,2
91423,,M,46,3
91947,,M,56,4
92393,,F,60,4
92865,,M,51,3
93144,,M,42,3
93483,,M,46,3
93563,,F,51,2
93755,,M,48,1
95049,,M,48,3
95598,,M,34,5
96049,,M,46,5
96452,,M,51,4
96524,,M,54,3
97504,,M,38,2
97794,,M,50,4
97873,,M,49,3
98788,,M,52,4
99150,,M,51,2
99431,,M,61,4
99897,,M,46,5
100331,,M,58,3
100365,,M,48,2
100896,,M,50,5
101145,,M,39,2
101194,,M,39,5
101309,,M,35,5
101440,,M,44,4
101551,,M,47,3
101965,,F,46,4
102258,,M,52,4
102274,,M,56,3
102311,,M,54,3
102411,,M,46,3
102422,,M,56,5
102647,,M,51,4
103171,,M,46,4
103222,,M,41,4
103696,,F,42,2
104797,,M,38,4
104887,,M,59,4
105201,,F,49,1
105718,,M,33,5
106016,,M,50,5
106290,,M,40,3
106455,,M,53,3
106496,,M,64,4
107175,,M,74,4
107283,,F,39,1
107447,,F,49,4
107663,,M,49,3
107681,,M,45,4
107695,,M,51,3
107719,,M,52,4
107768,,F,47,1
107868,,M,44,5
107871,,M,53,3
107982,,F,55,3
108778,,M,58,5
108816,,M,52,4
109014,,M,62,4
109228,,M,53,5
109383,,M,56,4
109740,,M,39,3
109784,,M,52,3
109993,,M,45,3
110209,,M,49,4
110279,,M,49,3
110305,,M,37,4
110667,,M,41,4
110709,,M,56,4
110882,,M,47,3
111016,,M,47,4
111454,,M,40,5
111664,,M,65,3
111682,,M,48,5
112253,,M,46,3
112364,,M,53,5
112720,,M,32,5
112814,,M,59,4
113168,,M,46,4
113380,,M,55,3
113898,,M,50,3
114347,,M,41,3
114640,,M,44,4
114899,,M,48,2
114948,,M,54,5
115342,,M,48,3
116176,,M,45,4
116501,,M,44,3
116765,,M,57,5
117518,,M,72,4
117797,,M,51,4
117915,,M,39,5
117971,,M,45,5
118268,,M,44,5
118317,,M,52,4
118422,,M,53,4
118424,,M,43,4
118430,,M,63,5
118797,,M,32,2
119039,,M,47,3
119309,,M,37,3
119459,,M,46,2
119491,,M,46,5
119921,,M,47,3
120352,,M,60,3
120587,,M,68,5
120588,,M,31,1
120833,,M,49,5
120908,,M,40,5
121076,,M,41,4
121197,,F,42,3
121247,,M,42,3
121396,,M,54,4
122040,,M,54,3
122266,,M,49,2
122426,,M,43,5
123925,,M,39,3
123967,,M,42,4
124715,,M,38,3
124857,,M,29,3
124893,,M,38,2
125065,,M,38,2
125288,,F,65,3
125352,,M,59,2
125445,,M,67,3
125475,,M,46,2
125781,,M,56,4
126004,,M,55,2
126286,,M,45,2
126404,,M,53,3
126472,,M,69,5
126621,,M,42,3
126666,,M,46,5
126711,,M,41,3
127093,,M,27,1
127344,,M,41,1
127410,,M,58,2
127538,,M,53,4
127555,,M,50,5
127588,,M,53,3
127715,,F,55,3
127804,,M,45,2
128181,,M,67,5
128351,,F,37,1
128466,,M,44,4
128575,,M,49,1
128711,,M,43,3
128847,,M,28,1
129270,,M,41,4
129282,,M,51,5
129295,,M,39,2
129467,,M,44,4
129473,,M,45,3
129476,,M,44,4
129658,,M,46,4
129693,,F,46,3
129703,,M,47,5
130080,,M,52,2
130111,,M,54,4
130271,,M,43,3
130657,,M,64,5
130870,,M,51,3
130974,,M,54,5
130975,,M,34,4
131006,,M,48,3
131311,,M,59,3
131408,,M,60,4
131607,,M,46,5
131847,,M,60,5
131973,,M,52,2
132197,,M,43,4
132641,,M,53,3
132857,,M,45,5
132859,,M,47,2
132927,,M,44,4
132946,,M,33,1
132986,,M,37,2
133001,,F,46,4
133408,,M,43,5
133656,,M,39,1
133838,,M,44,2
133970,,M,58,3
134488,,F,48,2
134895,,M,48,3
134972,,M,55,3
135007,,M,44,3
135328,,M,52,5
135557,,M,34,5
135679,,M,44,4
135891,,M,56,3
135996,,M,47,4
136127,,M,48,3
136178,,M,52,3
136389,,M,39,3
136638,,M,29,5
136641,,M,44,1
136918,,M,39,4
136967,,M,48,3
136970,,M,50,1
138341,,F,49,3
139348,,M,36,2
139360,,M,52,4
139460,,M,50,4
140089,,M,40,5
140633,,M,44,4
140693,,M,70,3
140740,,M,40,1
140792,,M,53,5
140883,,M,45,5
140979,,M,52,3
141309,,M,49,3
141386,,M,40,3
141483,,M,51,1
141499,,M,44,3
141607,,M,33,3
141726,,M,54,5
141844,,M,39,2
142113,,M,54,3
142426,,F,44,4
142500,,M,57,3
142750,,M,35,2
142947,,M,31,3
142965,,M,48,2
143225,,M,62,4
143523,,M,46,5
143722,,M,47,5
143741,,M,49,5
144160,,M,28,5
144195,,M,45,5
144259,,M,44,4
144264,,M,46,2
144313,,M,52,5
144337,,M,50,5
144430,,M,37,3
144641,,M,64,5
144645,,M,49,5
144847,,M,34,2
144875,,M,45,5
145186,,M,62,4
145511,,F,40,PR
145573,,M,46,2
145761,,F,51,4
146133,,M,38,5
146183,,M,45,5
146243,,M,48,2
146432,,M,30,5
